name,match,inn,no,runs,hs,avg,bf,sr,hund,fif,four,six
Ruturaj Gaikwad,16,16,2,635,101,45.35,45.35,136.26,1,4,64,23
Shikhar Dhawan,16,16,1,587,92,39.13,39.13,124.62,0,3,63,16
Faf du Plessis,16,16,2,633,95,45.21,45.21,138.2,0,6,60,23
Prithvi Shaw,15,15,0,479,82,31.93,31.93,159.13,0,4,56,18
Shubman Gill,17,17,0,478,57,28.11,28.11,118.9,0,3,50,12
KL Rahul,13,13,3,626,98,62.6,62.6,138.8,0,6,48,30
Glenn Maxwell,15,14,2,513,78,42.75,42.75,144.1,0,6,48,21
Sanju Samson,14,14,2,484,119,40.33,40.33,136.72,1,2,45,17
Devdutt Padikkal,14,14,1,411,101,31.61,31.61,125.3,1,1,44,14
Virat Kohli,15,15,1,405,72,28.92,28.92,119.46,0,3,43,9
Mayank Agarwal,12,12,1,441,99,40.09,40.09,140.44,0,4,42,18
Rishabh Pant,16,16,4,419,58,34.91,34.91,128.52,0,3,42,10
Rahul Tripathi,17,16,2,397,74,28.35,28.35,140.28,0,2,41,11
Suryakumar Yadav,14,14,0,317,82,22.64,22.64,143.43,0,2,40,10
Venkatesh Iyer,10,10,1,370,67,41.11,41.11,128.47,0,4,37,14
Nitish Rana,17,16,3,383,80,29.46,29.46,121.97,0,2,34,17
Rohit Sharma,13,13,0,381,63,29.3,29.3,127.42,0,1,33,14
Yashasvi Jaiswal,10,10,0,249,50,24.9,24.9,148.21,0,1,32,10
Moeen Ali,15,15,1,357,58,25.5,25.5,137.3,0,1,31,19
Quinton de Kock,11,11,1,297,70,29.7,29.7,116.01,0,2,29,7
Kane Williamson,10,10,4,266,66,44.33,44.33,113.19,0,2,29,2
Jos Buttler,7,7,0,254,124,36.28,36.28,153.01,1,0,27,13
AB de Villiers,15,14,4,313,76,31.3,31.3,148.34,0,2,23,16
Dinesh Karthik,17,15,5,223,40,22.3,22.3,131.17,0,0,22,7
Manish Pandey,8,8,2,292,69,48.66,48.66,123.72,0,3,21,10
Ishan Kishan,10,10,1,241,84,26.77,26.77,133.88,0,2,21,10
Chris Gayle,10,10,1,193,46,21.44,21.44,125.32,0,0,21,8
Jason Roy,5,5,0,150,60,30,30,123.96,0,1,21,1
Jonny Bairstow,7,7,1,248,63,41.33,41.33,141.71,0,2,20,15
Shimron Hetmyer,14,13,6,242,53,34.57,34.57,168.05,0,1,19,12
Ravindra Jadeja,16,12,9,227,62,75.66,75.66,145.51,0,1,19,9
Shivam Dube,9,9,1,230,64,28.75,28.75,119.17,0,1,18,10
Evin Lewis,5,5,0,151,58,30.2,30.2,162.36,0,1,18,7
Ambati Rayudu,16,13,4,257,72,28.55,28.55,151.17,0,2,16,17
Kieron Pollard,14,13,5,245,87,30.62,30.62,148.48,0,1,16,16
David Warner,8,8,0,195,57,24.37,24.37,107.73,0,2,15,6
Andre Russell,10,9,2,183,54,26.14,26.14,152.5,0,1,14,14
Suresh Raina,12,11,2,160,54,17.77,17.77,125,0,1,13,9
Steve Smith,8,7,1,152,39,25.33,25.33,112.59,0,0,13,2
Aiden Markram,6,6,1,146,42,29.2,29.2,122.68,0,0,12,4
MS Dhoni,16,11,4,114,18,16.28,16.28,106.54,0,0,12,3
Rahul Tewatia,14,11,1,155,44,15.5,15.5,105.44,0,0,11,6
Hardik Pandya,12,11,2,127,40,14.11,14.11,113.39,0,0,11,5
David Miller,9,8,3,124,62,24.8,24.8,109.73,0,1,11,3
Marcus Stoinis,10,7,3,89,27,22.25,22.25,123.61,0,0,11,1
K.S Bharat,8,7,2,191,78,38.2,38.2,122.43,0,1,10,8
Krunal Pandya,13,12,2,143,39,14.3,14.3,116.26,0,0,10,6
Saurabh Tiwary,5,4,2,115,50,57.5,57.5,118.55,0,1,10,2
Deepak Hooda,12,11,1,160,64,16,16,130.08,0,1,9,9
Shahrukh Khan,11,10,3,153,47,21.85,21.85,134.21,0,0,9,10
Rashid Khan,14,10,2,83,22,10.37,10.37,120.28,0,0,9,2
Eoin Morgan,17,16,4,133,47,11.08,11.08,95.68,0,0,8,6
Robin Uthappa,4,4,0,115,63,28.75,28.75,136.9,0,1,8,5
Shreyas Iyer,8,8,3,175,47,35,35,102.33,0,0,7,5
Wriddhiman Saha,9,9,0,131,44,14.55,14.55,93.57,0,0,7,5
