Player, Ov, Runs, Wkts, SR, Against, Venue, Match Date
Lungi Ngidi,4,62,0,0,MI,Arun Jaitley Stadium,01-May-21
Pat Cummins,4,58,0,0,CSK,Wankhede Stadium,21-Apr-21
Sam Curran,4,58,1,24,KKR,Wankhede Stadium,21-Apr-21
Sam Curran,4,56,0,0,KKR,Zayed Cricket Stadium,26-Sep-21
Lockie Ferguson,4,56,0,0,CSK,Dubai International Stadium,15-Oct-21
Siddarth Kaul,4,56,0,0,MI,Zayed Cricket Stadium,08-Oct-21
Shardul Thakur,4,56,1,24,MI,Arun Jaitley Stadium,01-May-21
Jasprit Bumrah,4,56,1,24,CSK,Arun Jaitley Stadium,01-May-21
Sam Curran,4,55,0,0,RR,Zayed Cricket Stadium,02-Oct-21
Jhye Richardson,4,55,1,24,RR,Wankhede Stadium,12-Apr-21
Josh Hazlewood,4,54,0,0,RR,Zayed Cricket Stadium,02-Oct-21
Harshal Patel,4,53,0,0,PBKS,Narendra Modi Stadium,30-Apr-21
Mohammad Shami,4,53,0,0,DC,Wankhede Stadium,18-Apr-21
Shardul Thakur,3.4,53,2,11,DC,Wankhede Stadium,10-Apr-21
Jason Holder,4,52,4,6,MI,Zayed Cricket Stadium,08-Oct-21
Mustafizur Rahman,4,51,0,0,CSK,Zayed Cricket Stadium,02-Oct-21
Harshal Patel,4,51,3,8,CSK,Wankhede Stadium,25-Apr-21
Chris Morris,4,50,0,0,RCB,Dubai International Stadium,29-Sep-21
Sandeep Sharma,4,50,1,24,RR,Arun Jaitley Stadium,02-May-21
Prasidh Krishna,4,49,0,0,CSK,Wankhede Stadium,21-Apr-21
Riley Meredith,4,49,1,24,RR,Wankhede Stadium,12-Apr-21
Dhawal Kulkarni,4,48,0,0,CSK,Arun Jaitley Stadium,01-May-21
Adam Milne,4,48,1,24,RCB,Dubai International Stadium,26-Sep-21
Umran Malik,4,48,1,24,MI,Zayed Cricket Stadium,08-Oct-21
Deepak Chahar,4,48,1,24,PBKS,Dubai International Stadium,07-Oct-21
Shardul Thakur,3.1,48,0,0,KKR,Wankhede Stadium,21-Apr-21
Chris Morris,4,47,0,0,PBKS,Dubai International Stadium,21-Sep-21
Avesh Khan,4,47,1,24,CSK,Dubai International Stadium,10-Oct-21
Ravichandran Ashwin,4,47,1,24,CSK,Wankhede Stadium,10-Apr-21
Harshal Patel,4,47,3,8,RR,Wankhede Stadium,22-Apr-21
Nathan Ellis,4,46,0,0,KKR,Dubai International Stadium,01-Oct-21
