Player, Mat, Inn, Ov, Runs, Wkts, BBI, Avg, Econ, SR, 4W, 5W
Harshal Patel,15,15,56.2,459,32,5/27,14.34,8.14,10.56,1,1
Avesh Khan,16,16,61,450,24,3/13,18.75,7.37,15.25,0,0
Jasprit Bumrah,14,14,55,410,21,3/36,19.52,7.45,15.71,0,0
Shardul Thakur,16,16,59.5,527,21,3/28,25.09,8.80,17.09,0,0
Mohammad Shami,14,14,52.4,395,19,3/21,20.78,7.50,16.63,0,0
Varun Chakaravarthy,17,17,68,448,18,3/13,24.88,6.58,22.66,0,0
Rashid Khan,14,14,56,375,18,3/36,20.83,6.69,18.66,0,0
Yuzvendra Chahal,15,15,53,374,18,3/11,20.77,7.05,17.66,0,0
Arshdeep Singh,12,12,41.2,342,18,5/32,19.00,8.27,13.77,0,1
Sunil Narine,14,14,56,361,16,4/21,22.56,6.44,21.00,1,0
Jason Holder,8,8,31.5,247,16,4/52,15.43,7.75,11.93,1,0
Axar Patel,12,12,46,306,15,3/21,20.40,6.65,18.40,0,0
Kagiso Rabada,15,15,56,456,15,3/36,30.40,8.14,22.40,0,0
Chris Morris,11,11,41,376,15,4/23,25.06,9.17,16.40,1,0
Dwayne Bravo,11,11,33.4,263,14,3/24,18.78,7.81,14.42,0,0
Chetan Sakariya,14,14,52,426,14,3/31,30.42,8.19,22.28,0,0
Deepak Chahar,15,15,54,451,14,4/13,32.21,8.35,23.14,2,0
Mustafizur Rahman,14,14,51.5,436,14,3/20,31.14,8.41,22.21,0,0
Ravindra Jadeja,16,16,49,346,13,3/13,26.61,7.06,22.61,0,0
Rahul Chahar,11,11,43,318,13,4/27,24.46,7.39,19.84,1,0
Lockie Ferguson,8,8,30,224,13,3/18,17.23,7.46,13.84,0,0
Trent Boult,14,14,51.2,406,13,3/28,31.23,7.90,23.69,0,0
Anrich Nortje,8,8,30.2,187,12,2/12,15.58,6.16,15.16,0,0
Ravi Bishnoi,9,9,35,222,12,3/24,18.50,6.34,17.50,0,0
Prasidh Krishna,10,10,38.3,351,12,3/30,29.25,9.11,19.25,0,0
Mohammed Siraj,15,15,52,353,11,3/27,32.09,6.78,28.36,0,0
Shivam Mavi,9,9,32.1,233,11,4/21,21.18,7.24,17.54,1,0
Josh Hazlewood,9,9,35,293,11,3/24,26.63,8.37,19.09,0,0
Andre Russell,10,8,19,188,11,5/15,17.09,9.89,10.36,0,1
Pat Cummins,7,7,26.5,237,9,3/24,26.33,8.83,17.88,0,0
Kyle Jamieson,9,9,28,269,9,3/41,29.88,9.60,18.66,0,0
Sam Curran,9,9,33,328,9,3/34,36.44,9.93,22.00,0,0
Rahul Tewatia,14,13,37,340,8,3/39,42.50,9.18,27.75,0,0
Nathan Coulter-Nile,5,5,20,127,7,4/14,18.14,6.35,17.14,1,0
Shahbaz Ahmed,11,6,14,92,7,3/7,13.14,6.57,12.00,0,0
Ravichandran Ashwin,13,13,44.4,331,7,2/27,47.28,7.41,38.28,0,0
Siddarth Kaul,8,8,30,247,7,2/31,35.28,8.23,25.71,0,0
Moeen Ali,15,10,25.2,161,6,3/7,26.83,6.35,25.33,0,0
Amit Mishra,4,4,14,109,6,4/24,18.16,7.78,14.00,1,0
Bhuvneshwar Kumar,11,11,42,335,6,1/16,55.83,7.97,42.00,0,0
Harpreet Brar,7,7,23,139,5,3/19,27.80,6.04,27.60,0,0
Kieron Pollard,14,9,13.1,95,5,2/8,19.00,7.21,15.80,0,0
Jimmy Neesham,3,3,9,66,5,3/12,13.20,7.33,10.80,0,0
Chris Woakes,3,3,11,82,5,2/18,16.40,7.45,13.20,0,0
Krunal Pandya,13,12,33.1,265,5,1/13,53.00,7.98,39.80,0,0
Khaleel Ahmed,7,7,27,219,5,3/21,43.80,8.11,32.40,0,0
Lungi Ngidi,3,3,12,125,5,3/28,25.00,10.41,14.40,0,0
Moises Henriques,5,5,10,45,4,3/12,11.25,4.50,15.00,0,0
Abhishek Sharma,8,6,10,64,4,2/4,16.00,6.40,15.00,0,0
Shakib Al Hasan,8,8,26,187,4,1/1,46.75,7.19,39.00,0,0
