name,runs,bf,sr,four,six,against,venue,date
Ravindra Jadeja,36,7,514.28,1,5,RCB,Wankhede Stadium,25 April 2021
Pat Cummins,30,6,500,1,4,CSK,Wankhede Stadium,21 April 2021
Prithvi Shaw,24,6,400,6,0,KKR,Narendra Modi Stadium,29 April 2021
Mahipal Lomror,24,6,400,2,2,PBKS,Dubai International Stadium,21 September 2021
Glenn Maxwell,22,6,366.66,3,1,RR,Dubai International Stadium,29 September 2021
Andre Russell,22,6,366.66,1,3,CSK,Wankhede Stadium,21 April 2021
Yashasvi Jaiswal,22,6,366.66,1,3,CSK,Zayed Cricket Stadium,02 October 2021
Jos Buttler,22,6,366.66,1,3,SRH,Arun Jaitley Stadium,02 May 2021
AB de Villiers,22,6,366.66,0,3,DC,Narendra Modi Stadium,27 April 2021
Ravindra Jadeja,21,5,420,2,2,KKR,Zayed Cricket Stadium,26 September 2021
Shikhar Dhawan,21,6,350,2,2,CSK,Dubai International Stadium,04 October 2021
Jos Buttler,20,5,400,2,2,SRH,Arun Jaitley Stadium,02 May 2021
AB de Villiers,20,6,333.33,3,1,KKR,Chidambaram,18 April 2021
Robin Uthappa,20,6,333.33,2,2,DC,Dubai International Stadium,10 October 2021
Sanju Samson,20,6,333.33,1,2,SRH,Dubai International Stadium,27 September 2021
Shimron Hetmyer,20,5,400,0,3,RCB,Narendra Modi Stadium,27 April 2021
Chris Gayle,20,6,333.33,5,0,RCB,Narendra Modi Stadium,30 April 2021
Rishabh Pant,20,6,333.33,4,0,RR,Wankhede Stadium,15 April 2021
Kieron Pollard,19,5,380,3,1,CSK,Arun Jaitley Stadium,01 May 2021
Andre Russell,19,5,380,3,1,RCB,Chidambaram,18 April 2021
Sunil Narine,19,5,380,1,2,DC,Sharjah Cricket Stadium,28 September 2021
Ishan Kishan,19,7,271.42,1,2,RR,Sharjah Cricket Stadium,05 October 2021
Kane Williamson,19,5,380,3,1,CSK,Arun Jaitley Stadium,28 April 2021
Deepak Hooda,19,5,380,0,3,RR,Wankhede Stadium,12 April 2021
Kieron Pollard,19,5,380,0,3,CSK,Arun Jaitley Stadium,01 May 2021
Sunil Narine,19,4,475,0,3,RCB,Sharjah Cricket Stadium,11 October 2021
Ishan Kishan,18,6,300,4,0,SRH,Zayed Cricket Stadium,08 October 2021
Jonny Bairstow,18,6,300,3,1,MI,Chidambaram,17 April 2021
Jason Roy,18,5,360,3,1,RR,Dubai International Stadium,27 September 2021
KL Rahul,18,5,360,1,2,RR,Dubai International Stadium,21 September 2021
Faf du Plessis,18,5,360,3,1,RR,Wankhede Stadium,19 April 2021
Kane Williamson,18,6,300,4,0,KKR,Dubai International Stadium,03 October 2021
Evin Lewis,18,6,300,1,2,RCB,Dubai International Stadium,29 September 2021
Glenn Maxwell,17,4,425,1,2,SRH,Chidambaram,14 April 2021
Sanju Samson,17,5,340,2,1,PBKS,Wankhede Stadium,12 April 2021
Glenn Maxwell,17,6,283.33,2,1,MI,Dubai International Stadium,26 September 2021
Dinesh Karthik,17,5,340,2,1,CSK,Zayed Cricket Stadium,26 September 2021
Sam Curran,17,4,425,1,2,DC,Wankhede Stadium,10 April 2021
Shivam Mavi,17,5,340,1,2,CSK,Dubai International Stadium,15 October 2021
KL Rahul,17,5,340,0,2,CSK,Dubai International Stadium,07 October 2021
Faf du Plessis,17,4,425,1,2,MI,Arun Jaitley Stadium,01 May 2021
Ambati Rayudu,17,4,425,1,2,MI,Arun Jaitley Stadium,01 May 2021
Jos Buttler,17,5,340,4,0,PBKS,Wankhede Stadium,12 April 2021
Andre Russell,16,5,320,1,2,DC,Narendra Modi Stadium,29 April 2021
Yashasvi Jaiswal,16,6,266.66,3,0,CSK,Zayed Cricket Stadium,02 October 2021
Shimron Hetmyer,16,3,533.33,1,2,PBKS,Narendra Modi Stadium,02 May 2021
Suresh Raina,16,5,320,0,2,DC,Wankhede Stadium,10 April 2021
Marcus Stoinis,16,6,266.66,2,1,PBKS,Wankhede Stadium,18 April 2021
Hardik Pandya,16,5,320,2,1,PBKS,Zayed Cricket Stadium,28 September 2021
Ishan Kishan,16,4,400,2,1,SRH,Zayed Cricket Stadium,08 October 2021
Shubman Gill,16,5,320,1,2,RCB,Chidambaram,18 April 2021
Prithvi Shaw,16,5,320,4,0,CSK,Dubai International Stadium,10 October 2021
Evin Lewis,16,5,320,4,0,PBKS,Dubai International Stadium,21 September 2021
AB de Villiers,16,6,266.66,2,1,KKR,Chidambaram,18 April 2021
Kieron Pollard,16,6,266.66,2,1,CSK,Arun Jaitley Stadium,01 May 2021
Mayank Agarwal,16,4,400,1,2,RR,Dubai International Stadium,21 September 2021
Ruturaj Gaikwad,16,5,320,2,1,RR,Zayed Cricket Stadium,02 October 2021
Devdutt Padikkal,15,4,375,0,2,CSK,Wankhede Stadium,25 April 2021
Glenn Maxwell,15,5,300,0,2,PBKS,Sharjah Cricket Stadium,03 October 2021
Mayank Agarwal,15,4,375,2,1,DC,Narendra Modi Stadium,02 May 2021
Harshal Patel,15,4,375,2,1,PBKS,Narendra Modi Stadium,30 April 2021
Krunal Pandya,15,5,300,2,1,CSK,Arun Jaitley Stadium,01 May 2021
Rohit Sharma,15,6,250,3,0,RCB,Dubai International Stadium,26 September 2021
Suryakumar Yadav,15,5,300,2,1,KKR,Chidambaram,13 April 2021
Jonny Bairstow,15,5,300,2,1,RR,Arun Jaitley Stadium,02 May 2021
Shahrukh Khan,15,5,300,2,1,DC,Wankhede Stadium,18 April 2021
Jonny Bairstow,15,6,250,2,1,KKR,Chidambaram,11 April 2021
Kieron Pollard,15,4,375,0,2,SRH,Chidambaram,17 April 2021
Jason Holder,15,5,300,0,2,PBKS,Sharjah Cricket Stadium,25 September 2021
Chris Morris,15,6,250,0,2,DC,Wankhede Stadium,15 April 2021
