,Player,Mat,Inn,No,Runs_bat,HS,Avg_bat,BF,Sr_bat,Hund,Fif,Four,Six,Unnamed: 0,Mat,Inn,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4W,5W,Maid,Dots,Catches,Run Outs,Stumping,Pts,Price,Role
0,Ruturaj Gaikwad,16,16,2,635,101,45.35,466,136.26,1,4,64,23,111,,,,,,,,,,,,,,6,0,0,255.5,20 lakhs,Batsman
1,Faf du Plessis,16,16,2,633,95,45.21,458,138.2,0,6,60,23,110,,,,,,,,,,,,,,12,0,0,260.5,1.60 crore,All-Rounder
2,KL Rahul,13,13,3,626,98,62.6,451,138.8,0,6,48,30,112,,,,,,,,,,,,,,11,1,0,253.5,11 crore,Wicket Keeper
3,Shikhar Dhawan,16,16,1,587,92,39.13,471,124.62,0,3,63,16,113,,,,,,,,,,,,,,9,0,0,236,5.20 crore,Batsman
4,Glenn Maxwell,15,14,2,513,78,42.75,356,144.1,0,6,48,21,60,15,6,16,135,3,2/23,45,8.43,32,0,0,,25,5,0,0,241.5,10.75 crore,All-Rounder
5,Sanju Samson,14,14,2,484,119,40.33,354,136.72,1,2,45,17,115,,,,,,,,,,,,,,7,3,4,202.5,8 crore,Wicket Keeper
6,Prithvi Shaw,15,15,0,479,82,31.93,301,159.13,0,4,56,18,114,,,,,,,,,,,,,,1,0,0,205.5,1.20 crore,Batsman
7,Shubman Gill,17,17,0,478,57,28.11,402,118.9,0,3,50,12,116,,,,,,,,,,,,,,6,0,0,182,1.80 crore,Batsman
8,Mayank Agarwal,12,12,1,441,99,40.09,314,140.44,0,4,42,18,117,,,,,,,,,,,,,,5,0,0,180.5,1 crore,Batsman
9,Rishabh Pant,16,16,4,419,58,34.91,326,128.52,0,3,42,10,118,,,,,,,,,,,,,,10,4,3,176.5,15 crore,Wicket Keeper
10,Devdutt Padikkal,14,14,1,411,101,31.61,328,125.3,1,1,44,14,119,,,,,,,,,,,,,,7,0,0,176.5,20 lakhs,Batsman
11,Virat Kohli,15,15,1,405,72,28.92,339,119.46,0,3,43,9,121,,,,,,,,,,,,,,8,2,0,161,17 crore,Batsman
12,Rahul Tripathi,17,16,2,397,74,28.35,283,140.28,0,2,41,11,120,,,,,,,,,,,,,,8,1,0,162,60 lakhs,Batsman
13,Nitish Rana,17,16,3,383,80,29.46,314,121.97,0,2,34,17,91,17,2,2,12,0,0/5,0,6,0,0,0,,5,4,0,0,159.5,3.40 crore,Batsman
14,Rohit Sharma,13,13,0,381,63,29.3,299,127.42,0,1,33,14,103,13,2,1.1,13,0,0/4,0,11.14,0,0,0,,,1,0,0,134,15 crore,Batsman
15,Venkatesh Iyer,10,10,1,370,67,41.11,288,128.47,0,4,37,14,59,10,4,8.3,69,3,2/29,23,8.11,17,0,0,,14,7,1,0,184.5,20 lakh,Bowler
16,Moeen Ali,15,15,1,357,58,25.5,260,137.3,0,1,31,19,37,15,10,25.2,161,6,3/7,26.83,6.35,25.33,0,0,,50,7,0,0,232.5,1.70 crore,All-Rounder
17,Suryakumar Yadav,14,14,0,317,82,22.64,221,143.43,0,2,40,10,123,,,,,,,,,,,,,,5,0,0,147.5,3.20 crore,Batsman
18,AB de Villiers,15,14,4,313,76,31.3,211,148.34,0,2,23,16,122,,,,,,,,,,,,,,15,2,0,153,11 crore,Batsman
19,Quinton de Kock,11,11,1,297,70,29.7,256,116.01,0,2,29,7,126,,,,,,,,,,,,,,4,0,2,112,2.80 crore,Wicket Keeper
20,Manish Pandey,8,8,2,292,69,48.66,236,123.72,0,3,21,10,131,,,,,,,,,,,,,,5,0,0,100,11 crore,Batsman
21,Kane Williamson,10,10,4,266,66,44.33,235,113.19,0,2,29,2,132,,,,,,,,,,,,,,7,1,0,98,3 crore,Batsman
22,Ambati Rayudu,16,13,4,257,72,28.55,170,151.17,0,2,16,17,128,,,,,,,,,,,,,,2,1,0,105.5,2.20 crore,Batsman
23,Jos Buttler,7,7,0,254,124,36.28,166,153.01,1,0,27,13,125,,,,,,,,,,,,,,3,1,0,121.5,4.40 crore,Batsman
24,Yashasvi Jaiswal,10,10,0,249,50,24.9,168,148.21,0,1,32,10,124,,,,,,,,,,,,,,3,0,0,122.5,2.40 crore,All-Rounder
25,Jonny Bairstow,7,7,1,248,63,41.33,175,141.71,0,2,20,15,127,,,,,,,,,,,,,,2,1,1,111,2.20 crore,Wicket Keeper
